Name,Date,Priority,Status
Cody,14-09-2021,28,Joined
Marisela,14-09-2021,29,Joined
Leyvi,14-09-2021,30,Joined
Samantha,14-09-2021,31,Joined
Santos,14-09-2021,32,Left List
Dakota,14-09-2021,33,Left List
Hanyuan,14-09-2021,34,Joined
Yolanda,14-09-2021,35,Joined
Hanlu,14-09-2021,36,Left List
Cindy,14-09-2021,37,Left List
Levi,14-09-2021,38,Joined
Zachery,14-09-2021,39,Left List
Victoria,14-09-2021,40,Joined
Shiyan,14-09-2021,41,Joined
Laura,14-09-2021,42,Left List
Nusaiba,14-09-2021,43,Joined
Abyad,14-09-2021,44,Joined
Jose,14-09-2021,45,Joined
Binyu,14-09-2021,46,Joined
Alexander,14-09-2021,47,Left List
Jeffrey,14-09-2021,48,Joined
Kendall,14-09-2021,49,Left List
Jorge,14-09-2021,50,Joined
Brandon,14-09-2021,51,Joined
Emily,15-09-2021,1,Registered
Tasharra,15-09-2021,2,Dropped Class
Brendon,15-09-2021,3,Dropped Class
Sawhitney,15-09-2021,4,Dropped Class
Shavel,15-09-2021,5,Registered
Rene,15-09-2021,6,Registered
Toni,15-09-2021,7,Registered
Haibaa,15-09-2021,8,Registered
Shabaan,15-09-2021,9,Registered
Labeeb,15-09-2021,10,Registered
Kiah,15-09-2021,11,Registered
Nabeela,15-09-2021,12,Registered
Ambre,15-09-2021,13,Registered
Presilla,15-09-2021,14,Left List
Kia,15-09-2021,15,Left List
Ryan,15-09-2021,16,Registered
Jillian,15-09-2021,17,Joined
Haajid,15-09-2021,18,Left List
Lubaaba,15-09-2021,19,Joined
Micah,15-09-2021,20,Joined
Cheyenne,15-09-2021,21,Joined
Lolita,15-09-2021,22,Left List
Saara,15-09-2021,23,Joined
Hannah,15-09-2021,24,Joined
Sara,15-09-2021,25,Joined
Kelsey,15-09-2021,26,Joined
Adrian,15-09-2021,27,Joined
Cody,15-09-2021,28,Joined
Marisela,15-09-2021,29,Joined
Leyvi,15-09-2021,30,Joined
